LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,Default
80000.0,female,university,single,24,0,0,0,0,0,0,75125.0,3503.0,5001.0,2092.0,1218.0,1445.0,878.0,0
30000.0,male,university,single,28,0,0,0,0,0,0,29242.0,5006.0,1244.0,851.0,955.0,0.0,0.0,0
180000.0,female,others,married,44,0,0,0,0,0,0,20916.0,0.0,850.0,0.0,6881.0,10340.0,182.0,0
60000.0,male,graduate school,single,25,0,0,0,0,0,0,58839.0,2018.0,1900.0,2000.0,1500.0,1900.0,2000.0,0
130000.0,female,university,single,25,0,0,0,0,0,0,111587.0,4100.0,4200.0,5000.0,5000.0,5000.0,10700.0,0
20000.0,male,high school,single,32,1,2,0,0,0,0,19844.0,0.0,1302.0,685.0,748.0,697.0,690.0,0
100000.0,female,university,married,33,0,0,0,0,0,0,7067.0,0.0,7482.0,15315.0,9705.0,0.0,4600.0,0
210000.0,female,university,married,31,0,0,0,0,0,0,205243.0,7736.0,7100.0,8300.0,4800.0,4396.0,4200.0,0
50000.0,female,university,single,35,0,0,0,0,0,0,13517.0,1550.0,1700.0,1300.0,900.0,800.0,800.0,0
360000.0,female,high school,married,43,0,0,0,0,0,0,4435.0,805.0,1071.0,15604.0,3195.0,4269.0,3525.0,0
220000.0,female,university,single,38,0,0,0,0,0,0,22145.0,5575.0,4716.0,1632.0,8559.0,4164.0,10626.0,1
70000.0,female,university,married,37,0,0,2,0,0,0,67374.0,6044.0,0.0,2975.0,2505.0,2590.0,2610.0,0
100000.0,male,graduate school,single,27,0,2,0,0,0,0,17553.0,0.0,1000.0,2000.0,3323.0,0.0,0.0,1
80000.0,female,high school,single,30,2,0,0,0,0,0,4794.0,1074.0,1000.0,1000.0,0.0,0.0,0.0,1
120000.0,female,high school,married,61,1,2,0,0,0,0,121709.0,99.0,8800.0,2700.0,3000.0,2600.0,2200.0,1
260000.0,male,graduate school,married,45,0,0,0,0,0,0,21480.0,5000.0,6781.0,5000.0,6452.0,6696.0,6892.0,0
150000.0,female,university,single,24,0,0,0,0,0,0,143212.0,5500.0,5500.0,4500.0,3500.0,4000.0,4000.0,0
270000.0,female,university,single,39,0,0,0,0,0,0,116168.0,4173.0,4275.0,4054.0,4191.0,4302.0,4567.0,0
170000.0,male,high school,married,31,0,0,0,0,0,0,3062.0,112000.0,6000.0,4500.0,4500.0,5000.0,4500.0,0
140000.0,male,university,single,24,0,0,0,0,0,0,16343.0,1462.0,4326.0,6398.0,48866.0,3500.0,2000.0,1
110000.0,female,high school,single,29,0,0,0,0,0,0,101006.0,5300.0,5300.0,4000.0,4100.0,4631.0,4404.0,1
430000.0,male,university,married,48,0,0,0,0,0,0,32263.0,1794.0,2399.0,884.0,914.0,987.0,869.0,0
360000.0,male,graduate school,married,39,0,0,0,0,0,0,12768.0,0.0,0.0,0.0,0.0,0.0,0.0,0
150000.0,male,graduate school,others,45,0,0,0,0,0,0,108434.0,3000.0,1300.0,1300.0,1200.0,1200.0,0.0,0
240000.0,female,graduate school,single,46,2,2,0,0,0,0,456.0,0.0,0.0,2240.0,0.0,2267.0,3074.0,0
200000.0,female,graduate school,single,33,0,0,0,0,0,0,846.0,4974.0,0.0,0.0,0.0,0.0,0.0,0
50000.0,female,graduate school,single,27,0,0,0,0,0,2,44421.0,2500.0,2100.0,2000.0,3900.0,0.0,2000.0,0
390000.0,female,graduate school,married,38,0,0,0,0,0,0,164418.0,9000.0,7027.0,5000.0,5000.0,6000.0,5000.0,0
240000.0,female,university,married,37,0,2,0,0,0,0,1769.0,0.0,14015.0,0.0,1317.0,0.0,0.0,0
220000.0,male,high school,single,33,1,0,0,0,0,0,-117.0,1000.0,3000.0,2000.0,2000.0,0.0,2000.0,0
230000.0,male,graduate school,married,59,0,0,0,0,0,0,208459.0,7536.0,7277.0,7100.0,7120.0,6844.0,6945.0,1
320000.0,male,graduate school,single,29,0,0,0,0,0,0,9161.0,28524.0,13270.0,17562.0,66751.0,14405.0,52677.0,0
100000.0,female,graduate school,others,47,0,0,0,0,0,0,43175.0,1680.0,1722.0,1603.0,1406.0,1598.0,1502.0,0
480000.0,female,university,married,46,0,0,0,0,0,0,993.0,1317.0,0.0,0.0,4415.0,0.0,0.0,0
20000.0,male,university,single,24,0,0,0,2,0,0,10476.0,1000.0,688.0,0.0,0.0,650.0,0.0,0
420000.0,female,university,married,32,0,0,0,0,0,0,546485.0,18546.0,8931.0,4940.0,1796.0,3100.0,133131.0,0
160000.0,male,university,married,55,0,0,0,0,0,0,155389.0,6911.0,6500.0,4270.0,2518.0,2994.0,0.0,0
380000.0,male,graduate school,married,40,0,0,0,0,0,0,231759.0,10000.0,9000.0,10021.0,10000.0,10000.0,10000.0,0
50000.0,male,university,single,29,0,0,2,2,2,0,24043.0,3165.0,0.0,2257.0,0.0,1000.0,2000.0,0
230000.0,male,graduate school,single,26,0,0,0,0,0,0,416.0,371.0,461.0,416.0,566.0,416.0,0.0,0
50000.0,male,university,single,35,0,0,0,0,0,0,47816.0,3000.0,3000.0,3019.0,3000.0,1000.0,2000.0,0
80000.0,male,high school,married,38,0,0,0,0,0,0,19277.0,1400.0,1306.0,1019.0,685.0,2500.0,0.0,0
80000.0,male,graduate school,single,26,0,0,0,0,0,0,67229.0,2089.0,6000.0,200.0,0.0,0.0,0.0,0
30000.0,male,graduate school,married,38,0,0,2,0,0,0,27429.0,2403.0,1200.0,588.0,588.0,574.0,0.0,0
280000.0,male,graduate school,single,30,0,0,0,0,0,0,17913.0,380.0,5118.0,380.0,380.0,380.0,380.0,0
100000.0,male,university,married,47,1,2,0,0,0,0,99823.0,0.0,3579.0,3472.0,3287.0,3590.0,10179.0,0
130000.0,female,university,married,46,0,0,0,0,0,0,125557.0,2498.0,0.0,0.0,0.0,0.0,0.0,0
120000.0,female,university,married,50,0,0,0,0,0,0,118492.0,6141.0,4474.0,2647.0,1367.0,1322.0,1500.0,0
30000.0,male,university,single,23,0,0,2,2,2,0,19321.0,5320.0,0.0,3316.0,0.0,700.0,0.0,1
50000.0,female,high school,single,23,2,2,2,2,2,2,42304.0,3695.0,2000.0,1900.0,0.0,3700.0,0.0,1
220000.0,female,graduate school,others,33,0,0,0,0,0,0,3378.0,1531.0,942.0,608.0,1738.0,277.0,492.0,0
20000.0,male,high school,single,27,0,0,0,0,0,2,20443.0,1558.0,1400.0,400.0,1290.0,0.0,780.0,0
50000.0,female,high school,single,47,0,0,0,0,0,0,11961.0,2500.0,2000.0,2000.0,2000.0,3000.0,3000.0,0
80000.0,female,graduate school,single,23,0,0,0,0,0,0,8766.0,1600.0,0.0,0.0,0.0,0.0,0.0,0
110000.0,female,graduate school,single,24,1,2,0,0,0,0,115527.0,0.0,4000.0,7000.0,7766.0,3982.0,5000.0,1
360000.0,male,university,others,38,0,0,0,0,0,0,176.0,252.0,0.0,0.0,0.0,0.0,0.0,0
70000.0,female,university,single,26,2,0,0,0,0,0,66087.0,3120.0,3303.0,2800.0,2200.0,7600.0,0.0,1
30000.0,female,university,married,22,0,0,0,0,0,0,3118.0,2414.0,1260.0,1181.0,101.0,991.0,579.0,0
460000.0,male,others,single,28,0,0,0,0,0,0,1358.0,55071.0,1263.0,3934.0,1702.0,22238.0,513.0,0
220000.0,male,high school,married,65,0,0,0,0,0,0,1193.0,1525.0,3470.0,1771.0,2333.0,390.0,2361.0,0
50000.0,male,high school,others,55,0,0,0,0,0,0,45555.0,1968.0,1843.0,434.0,5000.0,582.0,679.0,1
160000.0,male,high school,married,54,0,2,0,0,0,0,780.0,0.0,1560.0,0.0,0.0,0.0,390.0,1
210000.0,male,graduate school,single,30,0,0,2,0,0,0,99342.0,4900.0,4100.0,3600.0,4500.0,4000.0,3900.0,0
290000.0,female,university,single,38,0,0,0,0,0,0,0.0,130.0,0.0,24756.0,899.0,942.0,927.0,0
200000.0,male,university,single,29,0,0,0,0,0,0,8951.0,9117.0,0.0,0.0,0.0,0.0,0.0,1
460000.0,male,graduate school,single,28,0,0,0,0,0,0,17919.0,1500.0,9681.0,3284.0,732.0,2000.0,0.0,0
350000.0,male,graduate school,married,55,0,0,0,0,0,0,3297.0,11637.0,12991.0,39278.0,6000.0,14837.0,931.0,0
70000.0,male,graduate school,married,42,0,0,0,0,0,0,70730.0,3500.0,15000.0,3000.0,2000.0,1840.0,1798.0,0
30000.0,female,high school,single,26,0,0,0,0,0,0,30244.0,1701.0,1600.0,1500.0,1095.0,1500.0,2000.0,0
130000.0,female,graduate school,single,27,1,0,0,0,0,0,0.0,1386.0,4000.0,198.0,3992.0,5000.0,40000.0,0
50000.0,male,university,single,27,1,2,0,0,0,2,35905.0,0.0,1908.0,1700.0,3000.0,1700.0,1700.0,0
240000.0,female,university,single,27,0,0,0,2,0,0,4400.0,0.0,1129.0,0.0,1000.0,496.0,1000.0,1
230000.0,female,graduate school,married,49,0,0,0,0,0,0,1034.0,299.0,8997.0,1808.0,3970.0,7214.0,3684.0,0
80000.0,female,university,married,47,0,2,2,0,0,0,4166.0,0.0,0.0,3521.0,0.0,14206.0,7500.0,0
260000.0,male,university,single,31,0,0,0,0,0,0,3113.0,1300.0,1100.0,1000.0,300.0,0.0,1261.0,0
130000.0,female,graduate school,single,25,0,0,0,0,0,0,1088.0,1521.0,6044.0,1619.0,947.0,495.0,0.0,0
260000.0,male,others,married,42,0,0,0,0,0,0,204017.0,8000.0,7100.0,200140.0,6500.0,6000.0,6500.0,0
310000.0,female,university,single,28,0,0,0,0,0,0,106468.0,8000.0,6000.0,5000.0,5000.0,4000.0,5000.0,0
110000.0,female,university,single,26,0,0,0,0,0,0,45028.0,2000.0,2000.0,2000.0,2000.0,2000.0,2500.0,0
500000.0,female,high school,married,49,0,0,0,2,0,0,396.0,396.0,5792.0,0.0,792.0,0.0,5857.0,1
300000.0,female,graduate school,married,47,0,0,0,0,0,0,514.0,2392.0,148.0,148.0,148.0,0.0,747.0,1
20000.0,female,high school,married,53,0,0,0,0,0,0,12197.0,1600.0,1600.0,1000.0,710.0,1000.0,1000.0,0
80000.0,female,university,single,26,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
210000.0,female,graduate school,married,31,0,0,0,0,0,0,157544.0,7505.0,7072.0,4009.0,8000.0,10000.0,12000.0,0
260000.0,male,high school,married,63,0,0,0,0,0,2,261326.0,9166.0,9001.0,9061.0,19155.0,1.0,9858.0,0
20000.0,male,graduate school,married,36,0,0,0,0,0,0,18958.0,1500.0,2000.0,1200.0,413.0,0.0,0.0,1
10000.0,male,high school,married,41,1,4,3,2,0,0,10711.0,0.0,0.0,0.0,302.0,0.0,0.0,0
180000.0,female,high school,single,25,0,0,0,0,0,0,120583.0,3507.0,3201.0,3200.0,3500.0,4000.0,3704.0,0
430000.0,male,university,married,32,1,0,0,0,0,0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,1
360000.0,female,graduate school,married,37,0,0,0,0,0,0,4644.0,1417.0,3588.0,0.0,0.0,1278.0,1998.0,0
50000.0,female,university,married,42,0,0,0,0,0,0,38516.0,1754.0,1500.0,1500.0,1000.0,1100.0,1208.0,0
260000.0,female,university,married,46,0,0,0,0,0,0,0.0,135.0,0.0,0.0,109.0,945.0,9300.0,0
500000.0,female,high school,married,36,0,0,0,0,0,0,70016.0,2568.0,2000.0,1285.0,15000.0,1520.0,6994.0,0
440000.0,female,university,single,35,0,0,0,0,0,0,3091.0,1150.0,1084.0,821.0,821.0,821.0,821.0,0
30000.0,male,university,single,24,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20000.0,male,university,married,43,1,2,2,2,2,0,6216.0,1307.0,0.0,1400.0,0.0,182.0,400.0,0
50000.0,male,university,married,43,0,0,0,0,0,0,50562.0,6500.0,2112.0,1400.0,700.0,700.0,800.0,0
140000.0,female,graduate school,single,31,0,0,0,0,0,0,3886.0,1100.0,1500.0,1100.0,1000.0,1100.0,1000.0,0
210000.0,female,university,single,54,0,0,0,0,0,0,197324.0,8000.0,11000.0,6000.0,4098.0,3500.0,3000.0,0
440000.0,male,graduate school,married,79,0,0,0,0,0,0,429309.0,15715.0,16519.0,16513.0,15800.0,16531.0,15677.0,0
50000.0,female,university,married,26,0,0,0,0,0,0,49378.0,2500.0,1500.0,1206.0,0.0,20689.0,697.0,0
30000.0,male,university,married,48,0,0,0,0,0,0,46780.0,1899.0,1400.0,1188.0,600.0,0.0,0.0,0
150000.0,female,high school,single,28,0,0,0,0,0,0,100623.0,4700.0,4000.0,4032.0,3410.0,4000.0,3665.0,0
290000.0,female,graduate school,single,36,1,2,2,2,2,0,170422.0,7594.0,0.0,12000.0,0.0,6818.0,5182.0,1
70000.0,female,university,single,26,0,0,0,0,0,0,50680.0,2000.0,1500.0,0.0,0.0,30000.0,656.0,0
310000.0,male,graduate school,single,32,0,0,0,0,0,0,6023.0,18000.0,3000.0,1500.0,500.0,6579.0,40200.0,0
400000.0,female,graduate school,married,28,0,0,2,0,0,0,6500.0,405016.0,0.0,14000.0,13560.0,28000.0,0.0,0
520000.0,female,graduate school,married,46,1,2,2,0,0,2,133890.0,5022.0,0.0,20000.0,40000.0,0.0,5000.0,0
20000.0,female,graduate school,single,23,0,0,2,0,0,0,6988.0,1444.0,2000.0,329.0,492.0,342.0,354.0,1
50000.0,male,university,others,35,0,0,0,0,0,0,4943.0,45200.0,1285.0,332.0,306.0,308.0,173.0,1
300000.0,female,graduate school,single,27,0,0,0,0,0,0,42189.0,83754.0,120927.0,0.0,716.0,25213.0,92250.0,0
400000.0,female,graduate school,married,40,0,0,0,0,0,0,6376.0,5949.0,4403.0,1250.0,168459.0,3301.0,11168.0,0
340000.0,female,graduate school,married,35,1,0,0,0,0,0,-8.0,1730.0,1692.0,0.0,0.0,3031.0,0.0,1
50000.0,female,university,single,28,0,0,0,0,0,0,10051.0,5000.0,10000.0,5000.0,5780.0,10000.0,10000.0,0
230000.0,female,graduate school,single,30,0,0,0,0,0,0,246101.0,38172.0,9000.0,7800.0,6650.0,5496.0,5145.0,0
50000.0,female,university,married,22,0,0,0,0,0,0,34250.0,1550.0,1750.0,2270.0,603.0,713.0,1000.0,1
